id,scientific_name,common_name,old_level,new_level,old_notes,new_notes,parts,changes
AAA0002,Abelia floribunda,Mexican Abelia,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0004,Abelia uniflora,Large-Flowered Abelia,faint,light,Flowers lightly honey-scented.,The flowers have a lightly honey-scented scent.,flower,level:faint->light; notes:sentence
AAA0005,Abelia x grandiflora,Glossy Abelia,moderate,moderate,"Flowers sweetly fragrant, honeysuckle-like.","The flowers have a sweetly fragrant, honeysuckle-like scent.",flower,notes:sentence
AAA0010,Abies nordmanniana,Caucasian Fir,moderate,light,"Mild balsam-citrus scent, milder than Fraser fir.","Mild balsam-citrus scent, milder than Fraser fir.",leaf,level:moderate->light
AAA0022,Achillea clypeolata,Moonshine Yarrow,moderate,moderate,Foliage camphor-scented when brushed.,The foliage has a camphor-scented when brushed scent.,leaf,notes:sentence
AAA0023,Achillea filipendulina,Fern-Leaf Yarrow,moderate,moderate,"aromatic, pungent","The foliage has an aromatic, pungent scent.",leaf,notes:sentence
AAA0025,Achillea ptarmica,Sneezewort,moderate,moderate,pungent aromatic,The foliage has a pungent aromatic scent.,leaf,notes:sentence
AAA0030,Actinidia deliciosa,Chinese-Gooseberry,faint,light,Mild floral scent.,The flowers have a mild floral scent.,flower,level:faint->light; notes:sentence
AAA0036,Aesculus flava,Yellow Buckeye,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0037,Aesculus glabra,Ohio Buckeye,faint,light,fetid when crushed,The foliage has a fetid when crushed scent.,leaf,level:faint->light; notes:sentence
AAA0038,Aesculus pavia,Red Buckeye,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0039,Agarista populifolia,Florida Hobblebush,faint,light,,"Flowers have a light, barely noticeable scent.",flower,level:faint->light; notes:filled
AAA0051,Ageratum houstonianum,Bluemink,faint,light,,"Flowers have a light, soft scent when noticed up close.",flower,level:faint->light; notes:filled
AAA0060,Akebia quinata,Five-Leaf Akebia,moderate,moderate,Sweet spicy chocolate-vanilla fragrance.,The flowers have a sweet spicy chocolate-vanilla fragrance.,flower,notes:sentence
AAA0061,Albizia julibrissin,Persian Silk Tree,strong,strong,"Sweet, vanilla-like evening fragrance.","The flowers have a sweet, vanilla-like evening fragrance.",flower,notes:sentence
AAA0062,Alcea rosea,Hollyhock,faint,light,Mild scent.,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0063,Alcea rosea 'Nigra',Black Hollyhock,faint,light,Very light sweet scent.,The flowers have a very light sweet scent.,flower,level:faint->light; notes:sentence
AAA0064,Allamanda cathartica,Golden Trumpet,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0066,Allium cepa,Common Onion,strong,strong,Characteristic pungent sulfur aroma.,The plant has a characteristic pungent sulfur aroma.,all,notes:sentence
AAA0067,Allium christophii,Star Of Persia,faint,light,onion-like when crushed,The foliage has an onion-like when crushed scent.,leaf,level:faint->light; notes:sentence
AAA0068,Allium fistulosum,Welsh Onion,moderate,moderate,Oniony aroma from leaves.,The leaves have an oniony aroma when cut or bruised.,leaf,notes:sentence
AAA0069,Allium karataviense,Turkistan Onion,faint,light,onion-like,The foliage has an onion-like scent.,leaf,level:faint->light; notes:sentence
AAA0070,Allium porrum,Leek,moderate,light,Mild onion-garlic aroma.,The plant has a mild onion-garlic aroma.,all,level:moderate->light; notes:sentence
AAA0072,Allium schoenoprasum,Chives,moderate,light,Mild onion aroma from crushed leaves.,Mild onion aroma from crushed leaves.,leaf,level:moderate->light
AAA0073,Allium schubertii,Allium schubertii,faint,light,onion-like,The foliage has an onion-like scent.,leaf,level:faint->light; notes:sentence
AAA0074,Allium sphaerocephalon,Round-Headed Leek,faint,light,onion-like,The foliage has an onion-like scent.,leaf,level:faint->light; notes:sentence
AAA0089,Aloe vera,Aloe Vera,faint,light,Flowers have a light sweet scent attractive to sunbirds and bees.,Flowers have a light sweet scent attractive to sunbirds and bees.,flower,level:faint->light
AAA0102,Amelanchier laevis,Smooth Shadbush,faint,light,mild almond,The flowers have a mild almond scent.,flower,level:faint->light; notes:sentence
AAA0103,Amelanchier x grandiflora,Serviceberry,faint,light,Light sweet scent from flowers.,Light sweet scent from flowers.,flower,level:faint->light
AAA0104,Ammi majus,Bullwort,faint,light,mild sweet,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0114,Angelica archangelica,Garden Angelica,moderate,moderate,Musky-sweet anise-celery aroma.,The foliage has a musky-sweet anise-celery aroma.,"leaf,root,seed",notes:sentence
AAA0115,Angelica gigas,Korean Angelica,moderate,moderate,Aromatic anise-celery scent.,The foliage has an aromatic anise-celery scent.,"leaf,root",notes:sentence
AAA0116,Angelonia angustifolia,Summer Snapdragon,faint,light,Subtle grape or apple candy scent.,Subtle grape or apple candy scent.,"flower,leaf",level:faint->light
AAA0118,Anthemis tinctoria,Golden Marguerite,moderate,moderate,aromatic herbaceous,The foliage has an aromatic herbaceous scent.,leaf,notes:sentence
AAA0123,Antirrhinum majus,Snapdragon,faint,light,"Light sweet scent, more noticeable in warm conditions.","Light sweet scent, more noticeable in warm conditions.",flower,level:faint->light
AAA0126,Aquilegia canadensis,Red Columbine,faint,light,Flowers lightly sweet-scented; seeds historically used as a perfume rub.,Flowers lightly sweet-scented; seeds historically used as a perfume rub.,flower,level:faint->light
AAA0127,Aquilegia chrysantha,Golden Columbine,moderate,moderate,"Flowers sweetly scented, unusual among columbines.","The flowers have a sweetly scented, unusual among columbines scent.",flower,notes:sentence
AAA0132,Arctostaphylos hookeri,Hooker's Manzanita,faint,light,Mild honey scent from urn flowers.,Mild honey scent from urn flowers.,flower,level:faint->light
AAA0137,Argyranthemum frutescens,Marguerite Daisy,faint,light,Aromatic foliage when bruised.,The foliage has an aromatic foliage when bruised scent.,leaf,level:faint->light; notes:sentence
AAA0138,Aristolochia macrophylla,Pipevine,faint,light,Mild carrion-like scent attracts fly pollinators.,Mild carrion-like scent attracts fly pollinators.,flower,level:faint->light
AAA0139,Aronia prunifolia,Purple Chokeberry,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0140,Artemisia absinthium,Absinthe Wormwood,strong,strong,Intensely bitter-aromatic sage-like scent.,The foliage has an intensely bitter-aromatic sage-like scent.,leaf,notes:sentence
AAA0143,Artemisia ludoviciana,Silver Wormwood,strong,strong,Sage-camphor aroma.,The foliage has a sage-camphor aroma.,leaf,notes:sentence
AAA0144,Artemisia vulgaris,Common Mugwort,moderate,moderate,Distinctive sage-chamomile aroma.,The foliage has a distinctive sage-chamomile aroma.,leaf,notes:sentence
AAA0145,Aruncus dioicus,Goatsbeard,faint,light,mild sweet,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0147,Asclepias tuberosa,Butterfly Milkweed,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0148,Asimina triloba,Common Pawpaw,faint,light,Flowers emit a faint yeasty scent; ripe fruit has tropical aroma.,Flowers emit a faint yeasty scent; ripe fruit has tropical aroma.,"flower,fruit",level:faint->light
AAA0149,Asparagus densiflorus,Sprenger's Asparagus,faint,light,Small flowers have a light sweet scent.,Small flowers have a light sweet scent.,flower,level:faint->light
AAA0151,Asparagus setaceus,Common Asparagus Fern,faint,light,Tiny flowers have a faint sweet scent; rarely noticed indoors.,Tiny flowers have a faint sweet scent; rarely noticed indoors.,flower,level:faint->light
AAA0155,Aster amellus,Italian Aster,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0156,Aster novae-angliae,New England Aster,faint,light,Foliage has a mild resinous scent when crushed; flowers only lightly scented.,Foliage has a mild resinous scent when crushed; flowers only lightly scented.,"flower,leaf",level:faint->light
AAA0157,Aster novi-belgii,New York Aster,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0158,Aster x frikartii,Frikart's Aster,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0159,Astilbe chinensis,Tall False-Buck's-Beard,faint,light,mild sweet,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0160,Astilbe japonica,False-Buck's-Beard,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0161,Astilbe rubra,Tall False-Buck's-Beard,faint,light,,"Flower plumes have a light, delicate scent.",flower,level:faint->light; notes:filled
AAA0162,Astilbe simplicifolia,Entire-Leaf False Goat’s Beard,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0163,Astilbe thunbergii,Ostrich Plume,faint,light,,"Flower plumes have a light, delicate scent.",flower,level:faint->light; notes:filled
AAA0164,Astilbe x arendsii,Astilbe,faint,light,Subtle sweet scent.,The flowers have a subtle sweet scent.,flower,level:faint->light; notes:sentence
AAA0167,Atropa belladonna,Deadly Nightshade,faint,light,"Slightly unpleasant, musty.","The flowers have a slightly unpleasant, musty scent.",flower,level:faint->light; notes:sentence
AAA0171,Azalea flammea,Oconee Azalea,faint,light,,Flowers may have a light sweet scent.,flower,level:faint->light; notes:filled
AAA0174,Baccharis pilularis,Coyote Brush,faint,light,Resinous scent from crushed leaves.,Resinous scent from crushed leaves.,leaf,level:faint->light
AAA0178,Baptisia alba,Thick-Pod White Wild Indigo,faint,light,Flowers very lightly pea-scented.,The flowers have a very lightly pea-scented scent.,flower,level:faint->light; notes:sentence
AAA0180,Baptisia tinctoria,Eastern Wild Indigo,faint,light,Flowers very lightly pea-scented.,The flowers have a very lightly pea-scented scent.,flower,level:faint->light; notes:sentence
AAA0188,Bellis perennis,Lawn Daisy,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0189,Berberis thunbergii,Japanese Barberry,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0196,Bignonia capreolata,Cross Vine,faint,light,Mild mocha-coffee fragrance to some noses.,Mild mocha-coffee fragrance to some noses.,flower,level:faint->light
AAA0198,Borago officinalis,Borage,faint,light,Mild cucumber-saline aroma.,The foliage has a mild cucumber-saline aroma.,leaf,level:faint->light; notes:sentence
AAA0219,Buddleja lindleyana,Lindley's Butterflybush,faint,light,Flowers lightly sweet-scented; less intense than B. davidii.,Flowers lightly sweet-scented; less intense than B. davidii.,flower,level:faint->light
AAA0220,Buxus microphylla,Small-Leaved Box,faint,light,Characteristic musky boxwood scent—polarizing; some people find it unpleasant.,Characteristic musky boxwood scent—polarizing; some people find it unpleasant.,leaf,level:faint->light
AAA0222,Buxus sinica var. insularis,Korean Boxwood,faint,light,Mild musky boxwood scent.,The foliage has a mild musky boxwood scent.,leaf,level:faint->light; notes:sentence
AAA0233,Calendula arvensis,Field Marigold,faint,light,Resinous aromatic foliage when bruised.,Resinous aromatic foliage when bruised.,leaf,level:faint->light
AAA0237,Callicarpa americana,American Beautyberry,faint,light,Leaves release a mild herbal scent when crushed.,Leaves release a mild herbal scent when crushed.,leaf,level:faint->light
AAA0243,Calochortus superbus,Superb Mariposa Lily,faint,light,Faint sweet scent.,The flowers have a faint sweet scent.,flower,level:faint->light; notes:sentence
AAA0244,Calochortus venustus,Butterfly Mariposa Lily,faint,light,Faint sweet scent.,The flowers have a faint sweet scent.,flower,level:faint->light; notes:sentence
AAA0247,Calylophus drummondianus,Yellow Sundrops,faint,light,,"Flowers have little scent, at most lightly sweet up close.",flower,level:faint->light; notes:filled
AAA0248,Calystegia sepium,Hedge Bindweed,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0249,Camassia cusickii,Cusick's Camas,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0250,Camassia leichtlinii,Great Camas,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0251,Camassia quamash,Small Camas,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0254,Camellia sasanqua,Sasanqua Camellia,faint,light,Mild tea-like scent in some cultivars.,Mild tea-like scent in some cultivars.,flower,level:faint->light
AAA0255,Camellia sinensis,Tea,faint,light,Light sweet scent from flowers.,Light sweet scent from flowers.,flower,level:faint->light
