priority,result,animal,id,scientific_name,current_level,aspca_status,match_type,aspca_scientific_names,aspca_common_names,source_urls,current_notes_en
P0,conflict_possible_false_safe,cat,AAA0886,Nepeta cataria,0,toxic,exact,Nepeta cataria,Catnip,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/catnip,"Safe for cats; the behavioral response is a receptor effect, not toxicity. Effective mosquito repellent."
P1,conflict_possible_false_safe,cat,AAA0678,Ipomoea aquatica,0,toxic,genus,Ipomoea spp,Morning Glory,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/morning-glory,Edible leafy vegetable; non-toxic.
P1,conflict_possible_false_safe,dog,AAA0678,Ipomoea aquatica,0,toxic,genus,Ipomoea spp,Morning Glory,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/morning-glory,Edible leafy vegetable; non-toxic.
P1,conflict_possible_overwarning,cat,AAA0296,Centaurea solstitialis,1,non_toxic,exact,Centaurea solstitialis,Barnaby's Thistle,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barnabys-thistle,Chronic ingestion causes fatal neurological disease in horses; other livestock less affected.
P1,conflict_possible_overwarning,dog,AAA0296,Centaurea solstitialis,1,non_toxic,exact,Centaurea solstitialis,Barnaby's Thistle,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barnabys-thistle,Chronic ingestion causes fatal neurological disease in horses; other livestock less affected.
P1,conflict_possible_overwarning,cat,AAA0482,Eichhornia crassipes,1,non_toxic,exact,Eichhornia crassipes,Water Hyacinth,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/water-hyacinth,Not prominently listed by ASPCA. Environmental rather than pet toxicity concern.
P1,conflict_possible_overwarning,dog,AAA0482,Eichhornia crassipes,1,non_toxic,exact,Eichhornia crassipes,Water Hyacinth,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/water-hyacinth,Not prominently listed by ASPCA. Environmental rather than pet toxicity concern.
P1,conflict_possible_overwarning,cat,AAA0529,Fatsia japonica,1,non_toxic,exact,Fatsia japonica; Fatsia japonica,Figleaf Palm; Japanese Aralia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/figleaf-palm; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/japanese-aralia,Not prominently listed by ASPCA; low-level saponin toxicity reported.
P1,conflict_possible_overwarning,dog,AAA0529,Fatsia japonica,1,non_toxic,exact,Fatsia japonica; Fatsia japonica,Figleaf Palm; Japanese Aralia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/figleaf-palm; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/japanese-aralia,Not prominently listed by ASPCA; low-level saponin toxicity reported.
P1,conflict_possible_overwarning,cat,AAA0629,Hibiscus syriacus,1,non_toxic,exact,Hibiscus syriacus; Hibiscus syriacus; Hibiscus syriacus,Hibiscus; Rose of China; Rose of Sharon,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hibiscus; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rose-china; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rose-sharon,ASPCA specifically lists H. syriacus as toxic to dogs; toxicity relatively mild.
P1,conflict_possible_overwarning,dog,AAA0629,Hibiscus syriacus,2,non_toxic,exact,Hibiscus syriacus; Hibiscus syriacus; Hibiscus syriacus,Hibiscus; Rose of China; Rose of Sharon,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hibiscus; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rose-china; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rose-sharon,ASPCA specifically lists H. syriacus as toxic to dogs; toxicity relatively mild.
P1,conflict_possible_overwarning,dog,AAA0763,Lilium longiflorum,1,non_toxic,exact,Lilium longiflorum,Easter Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/easter-lily,One of the most dangerous common houseplants for cats; the specific toxin is still unidentified as of 2025. Dogs are not significantly affected.
P1,conflict_possible_overwarning,dog,AAA0765,Lilium orientalis,1,non_toxic,exact,Lilium orientalis,Stargazer Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/stargazer-lily,All true Lilium species are deadly to cats; keep entirely out of households with cats.
P1,conflict_possible_overwarning,dog,AAA0767,Lilium speciosum,1,non_toxic,exact,Lilium speciosum; Lilium speciosum,Japanese Show Lily; Rubrum Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/japanese-show-lily; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rubrum-lily,ASPCA: severely nephrotoxic to cats.
P1,conflict_possible_overwarning,cat,AAA0864,Muscari armeniacum,1,non_toxic,exact,Muscari armeniacum; Muscari armeniacum,Grape Hyacinth; Muscari Armeniacum,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/grape-hyacinth; https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/muscari-armeniacum,Bulb ingestion may cause GI upset; not ASPCA-listed as high-risk.
