priority,result,subject,id,scientific_name,current_level,ncsu_status,url,tags
P0,conflict_possible_false_safe,human,AAA0075,Allium tuberosum,0,toxic,https://plants.ces.ncsu.edu/plants/allium-tuberosum/,bulb; container; cool-season-vegetable; cream-flowers; deer-resistant; drought-tolerant; early-summer-flowers; easy-edibles; edible; herbaceous-perennial; landscape-plant-sleuths-course; mass-planting; poisonous; pollinator-plant; rock-gardens; showy-flowers; summer-flowers; vegetable-garden; weedy; white-flowers; yellow-flowers
P0,conflict_possible_false_safe,dog,AAA0090,Aloysia citriodora,0,toxic,https://plants.ces.ncsu.edu/plants/aloysia-citriodora/,container; edible-flowers; edible-garden; edible-leaves; fragrant-flowers; fragrant-leaves; full-sun; lavender; patio; problem-for-cats; problem-for-dogs; problem-for-horses; sensory-garden; summer-flowers; walkway
P0,conflict_possible_false_safe,human,AAA0382,Crassula perforata,0,toxic,https://plants.ces.ncsu.edu/plants/crassula-perforata/,border; clumping; contact-dermatitis; container; deer-resistant; drought-tolerant; dry-soils-tolerant; erect; hanging-baskets; herbaceous-perennial; houseplant; patio; poisonous-if-ingested; problem-for-cats; problem-for-children; problem-for-dogs; problem-for-horses; prostrate; rock-gardens; succulent; th-touch; yellow-flowers
P0,conflict_possible_false_safe,human,AAA0437,Dianthus barbatus,0,toxic,https://plants.ces.ncsu.edu/plants/dianthus-barbatus/,annual-flowers; bee-friendly; bicolor; biennial; butterfly-friendly; colorful; cottage-garden; cutting-garden; dense-growth; fragrant-flowers; full-sun; heat-tolerant; hs302; humidity-tolerant; hummingbirds; loamy-soils-tolerant; moist-soil; neutral-ph; organic-soils; part-shade; pink-flowers; poisonous; pollinator-plant; problem-for-cats; problem-for-dogs; problem-for-horses; purple-flowers; rabbit-resistant; red-flowers; rounded; short-lived; showy-flowers; upright; well-drained-soil; white-flowers
P0,conflict_possible_false_safe,human,AAA0439,Dianthus chinensis,0,toxic,https://plants.ces.ncsu.edu/plants/dianthus-chinensis/,annual_1; asian-garden; bee-friendly; biennial; borders; butterfly-friendly; clay-soils-tolerant; clumping; container; cottage-garden; deer-resistant; drought-tolerant; dry-soils-tolerant; edging; fall-interest; fantz; fringed-flowers; full-sun; herb-garden; herbaceous-perennial; hs302; hummingbirds; low-growing; medicinal; mounding; neutral-ph; part-shade; pink-flowers; poisonous; problem-for-cats; problem-for-dogs; problem-for-horses; rabbit-resistant; sandy-soils-tolerant; small-spaces; spring-interest; summer-flowers; upright; well-drained-soil; white-flowers
P0,conflict_possible_false_safe,human,AAA0440,Dianthus deltoides,0,toxic,https://plants.ces.ncsu.edu/plants/dianthus-deltoides/,alkaline-soil-tolerant; bicolor; biennial; border-front; borders; clumping; container; cottage-garden; deer-resistant; drought-tolerant; dry-soils-tolerant; easy-to-grow; edging; evergreen-groundcover; fragrant-flowers; fringed-flowers; garden-walls; groundcover; low-maintenance; mat-forming; mounding; patio; pink-flowers; poisonous; poor-soil-tolerant; problem-for-cats; problem-for-dogs; problem-for-horses; purple-flowers; rabbit-resistant; rock-gardens; rocky-soils-tolerant; sandy-soils-tolerant; self-seeding_1; short-lived; showy-flowers; slopes; small-spaces; spreading; spring-flowers; well-drained-soil
P0,conflict_possible_false_safe,human,AAA0441,Dianthus gratianopolitanus,0,toxic,https://plants.ces.ncsu.edu/plants/dianthus-gratianopolitanus/,alkaline-soil-tolerant; bee-friendly; border-front; butterfly-friendly; clumping; container; cottage-garden; deer-resistant; dense-growth; drought-tolerant; dry-soils-tolerant; edging; fringed-flowers; garden-walls; grass-like; groundcover; herbaceous-perennial; hs304; humidity-tolerant; mat-forming; moth-friendly; moths; mounding; neutral-ph; poisonous; pollinator-plant; problem-for-cats; problem-for-dogs; problem-for-horses; rabbit-resistant; rock-gardens; salt-tolerant; sandy-soils-tolerant; slopes; small-spaces; spreading; well-drained-soil; winter-interest
P0,conflict_possible_false_safe,human,AAA0462,Dracaena sanderiana,0,toxic,https://plants.ces.ncsu.edu/plants/dracaena-sanderiana/,bamboo; container; houseplant; interiorscape; poisonous-if-ingested; problem-for-cats; problem-for-children; problem-for-dogs; shade-garden; tropical-feel
P0,conflict_possible_false_safe,cat,AAA0742,Leucanthemum vulgare,0,toxic,https://plants.ces.ncsu.edu/plants/leucanthemum-vulgare/,butterfly-friendly; contact-dermatitis; cottage-garden; cutting-garden; deer-resistant; drought-tolerant; dry-soils-tolerant; full-sun; long-lasting-flowers; naturalizes; nectar-plant; nighttime-garden; part-shade; perennial_1; pollinator-plant; problem-for-cats; problem-for-dogs; problem-for-horses; rabbit-resistant; showy-flowers; small-spaces; spring-interest; summer-flowers; weedy; white-flowers; wildflower
P0,conflict_possible_false_safe,dog,AAA0742,Leucanthemum vulgare,0,toxic,https://plants.ces.ncsu.edu/plants/leucanthemum-vulgare/,butterfly-friendly; contact-dermatitis; cottage-garden; cutting-garden; deer-resistant; drought-tolerant; dry-soils-tolerant; full-sun; long-lasting-flowers; naturalizes; nectar-plant; nighttime-garden; part-shade; perennial_1; pollinator-plant; problem-for-cats; problem-for-dogs; problem-for-horses; rabbit-resistant; showy-flowers; small-spaces; spring-interest; summer-flowers; weedy; white-flowers; wildflower
P0,conflict_possible_false_safe,cat,AAA0886,Nepeta cataria,0,toxic,https://plants.ces.ncsu.edu/plants/nepeta-cataria/,air-pollution-tolerant; bee-friendly; deer-resistant; drought-tolerant; dry-soil-intolerant; edible; edible-flowers; edible-leaves; fast-growing; fragrant-leaves; full-sun; herb-garden; herbaceous-perennial; larval-host-plant; lavender-flowers; low-maintenance; moths; nectar-plant-early-fall; nectar-plant-early-summer; nectar-plant-late-spring; nectar-plant-late-summer; nectar-plant-mid-summer; part-shade; perennial_1; pollinator-plant; problem-for-cats; purple-flowers; sensory-garden; shallow-soil-tolerant; weedy; white-flowers
P0,conflict_possible_false_safe,cat,AAA0926,Pachira aquatica,0,toxic,https://plants.ces.ncsu.edu/plants/pachira-aquatica/,broadleaf-evergreen; container; fast-growing; fragrant-flowers; houseplant; part-shade; shade-tolerant; spring-flowers; tree_1
P0,conflict_possible_false_safe,human,AAA1387,Tagetes erecta,0,toxic,https://plants.ces.ncsu.edu/plants/tagetes-erecta/,4h; deer-resistant; fairy-garden; fall-interest; fantz; fpp; fragrant-leaves; full-sun; gold; long-lasting-flowers; poisonous; red-brown; spring-interest; summer-flowers
P0,conflict_possible_false_safe,cat,AAA1438,Tropaeolum majus,0,toxic,https://plants.ces.ncsu.edu/plants/tropaeolum-majus/,4h; annual_1; child; children; deer-resistant; drought-tolerant; dry-soils-tolerant; early-care; early-childhood; easy-edibles; edible; edible-flowers; edible-garden; edible-seeds; edible-stems; fall-interest; full-sun; hummingbirds; part-shade; pink-flowers; pollinator-plant; preschool; problem-for-cats; problem-for-dogs; problem-for-horses; spring-interest; summer-flowers; white-flowers
P0,conflict_possible_false_safe,dog,AAA1438,Tropaeolum majus,0,toxic,https://plants.ces.ncsu.edu/plants/tropaeolum-majus/,4h; annual_1; child; children; deer-resistant; drought-tolerant; dry-soils-tolerant; early-care; early-childhood; easy-edibles; edible; edible-flowers; edible-garden; edible-seeds; edible-stems; fall-interest; full-sun; hummingbirds; part-shade; pink-flowers; pollinator-plant; preschool; problem-for-cats; problem-for-dogs; problem-for-horses; spring-interest; summer-flowers; white-flowers
P1,conflict_possible_overwarning,cat,AAA0296,Centaurea solstitialis,1,non_toxic,https://plants.ces.ncsu.edu/plants/centaurea-solstitialis/,acidic-soil-tolerant; aggressive; bracts; drought-tolerant; dry-soil-intolerant; fast-growing; groundcover; high-maintenance; non-toxic-for-cats; non-toxic-for-dogs; problem-for-horses; self-seeding_1; wavy-leaves; weedy; yellow-flowers
P1,conflict_possible_overwarning,dog,AAA0296,Centaurea solstitialis,1,non_toxic,https://plants.ces.ncsu.edu/plants/centaurea-solstitialis/,acidic-soil-tolerant; aggressive; bracts; drought-tolerant; dry-soil-intolerant; fast-growing; groundcover; high-maintenance; non-toxic-for-cats; non-toxic-for-dogs; problem-for-horses; self-seeding_1; wavy-leaves; weedy; yellow-flowers
P1,conflict_possible_overwarning,cat,AAA0481,Echinopsis oxygona,1,non_toxic,https://plants.ces.ncsu.edu/plants/echinopsis-oxygona/,cactus; container; deer-resistant; disease-resistant; drought-tolerant; dry-soils-tolerant; evergreen; fragrant-flowers; frost-tender; heat-tolerant; houseplant; insect-resistant; large-flowers; long-lived; mat-forming; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; pink-flowers; rabbit-resistant; rock-gardens; rocky-soils-tolerant; showy; showy-flowers; spines; succulent; white-flowers
P1,conflict_possible_overwarning,dog,AAA0481,Echinopsis oxygona,1,non_toxic,https://plants.ces.ncsu.edu/plants/echinopsis-oxygona/,cactus; container; deer-resistant; disease-resistant; drought-tolerant; dry-soils-tolerant; evergreen; fragrant-flowers; frost-tender; heat-tolerant; houseplant; insect-resistant; large-flowers; long-lived; mat-forming; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; pink-flowers; rabbit-resistant; rock-gardens; rocky-soils-tolerant; showy; showy-flowers; spines; succulent; white-flowers
P1,conflict_possible_overwarning,cat,AAA0529,Fatsia japonica,1,non_toxic,https://plants.ces.ncsu.edu/plants/fatsia-japonica/,acidic-soil-tolerant; black-fruits; broadleaf-evergreen; cpp; cutting-garden; drought-tolerant; dry-shade; evergreen; evergreen-shrub; fantz; flower-arrangements; heavy-shade-tolerant; hedge; houseplant; hs111; hs303; interiorscape; leathery-leaves; non-toxic-for-cats; non-toxic-for-dogs; non-toxic-for-horses; patio; salt-spray-tolerant; salt-tolerant; shade-garden; showy-fruits; tropical-feel; white-flowers
